id,soil_moi,soil_mass,root_mass,BF,FF,PL,PR,OM,UN,no_nem
1,27.01027353,8.1486,0.0314,107,15,42,5,30,59,258
2,4.756430968,1.486,0.0247,36,9,10,0,14,15,84
3,7.901030928,4.2049,0.0181,65,28,8,0,44,43,188
4,0.036737693,3.5618,0.0124,13,8,2,0,0,26,49
6,19.57624855,0.9677,0.0095,337,31,30,51,8,71,528
7,5.366554863,7.6892,0.0216,131,6,87,0,1,23,248
8,21.09261354,4.3595,0.0142,31,1,0,1,0,12,45
9,1.642755448,4.8674,0.0229,3,1,0,0,0,0,4
10,0.320512821,16.6511,0.0203,2,2,0,0,0,3,7
11,1.792828685,9.4438,0.0148,5,34,2,0,1,5,47
12,0.284798861,5.3481,0.0137,6,7,0,0,0,7,20
13,2.17723453,11.8271,0.0654,2,5,9,0,0,0,16
14,1.219174287,1.722,0.0177,24,9,0,2,2,6,43
15,7.945413192,9.814,0.0366,74,9,80,3,8,26,200
16,3.087248322,4.5318,0.0704,11,0,7,1,0,3,22
17,1.319043693,0.9486,0.0062,59,17,25,2,3,10,116
18,3.51826793,1.2131,0.014,50,4,1,0,0,6,61
19,1.752336449,1.0402,0.0406,0,0,3,0,0,0,3
20,3.403755869,2.789,0.0874,14,5,13,0,5,4,41
21,4.612351566,4.1957,0.0298,86,6,19,0,3,33,147
22,1.731996354,3.5166,0.0187,37,15,26,4,0,10,92
23,1.52998776,1.1762,0.0094,9,23,3,1,1,20,57
24,1.576364965,0.1649,0.0055,50,9,90,2,1,24,176
25,0.931677019,13.4296,0.0029,189,109,10,8,7,101,424
26,1.290322581,0.8973,0.0048,1,0,0,0,0,0,1
27,1.790887543,9.3742,0.0139,42,5,34,0,1,8,90
28,1.710526316,2.2373,0.0235,20,6,5,0,0,3,34
29,3.966571037,2.6437,0.0035,105,35,8,7,6,48,209
31,2.405857741,3.7032,0.0132,62,28,4,0,1,31,126
32,3.999562889,4.9342,0.0222,116,54,53,16,7,41,287
34,1.833060556,0.2054,0.0078,4,1,6,0,0,2,13
35,13.3104967,0.9606,0.014,47,8,27,3,2,50,137
36,17.15913888,0.7995,0.009,30,6,3,0,0,11,50
37,5.545595793,3.24,0.0198,30,15,59,0,0,23,127
38,2.060156572,5.2618,0.0162,85,6,5,0,2,10,108
39,15.42109567,2.5576,0.0075,68,16,5,12,2,52,155
40,10.45510455,3.7541,0.0202,34,17,7,0,2,16,76
41,6.958608278,1.3519,0.0048,62,8,43,0,0,30,143
42,5.213411601,1.8158,0.0166,373,155,53,0,2,68,651
43,11.93472277,2.2325,0.0073,48,36,1,1,1,23,110
44,32.61035008,3.6003,0.0195,64,54,93,3,2,36,252
45,2.833461835,0.7463,0.0059,22,26,16,0,1,30,95
46,1.01944793,2.798,0.0261,26,12,6,0,0,6,50
47,4.809258465,2.0066,0.0027,32,9,9,0,0,13,63
48,0.129115558,5.2271,0.0443,9,1,0,0,0,3,13
49,0.90447827,2.781,0.0092,28,3,7,1,2,8,49
50,1.879612546,3.829,0.0692,14,0,7,0,1,3,25
51,1.053262545,2.4915,0.0288,10,2,3,0,0,4,19
52,2.764682774,6.739,0.1853,56,9,4,0,0,24,93
