id,lat,lon,alt,r50,r100,r200,r400,r800,r1600,r2400,r3200
1,51.035957,3.740099,71,46.05403659,40.39765831,32.52333175,33.87796788,32.37207417,28.09635977,27.63927838,23.63576557
2,51.03523,3.740211,60,25.09896654,30.66544955,32.84225283,33.2530173,30.26169751,27.45290459,27.27720443,23.49279381
3,51.036631,3.750387,53,19.14740215,22.5794212,24.42294998,31.69270767,33.0107843,25.63943475,24.19657534,21.84756909
4,51.0358,3.753103,50,21.18121214,24.46669665,23.12321284,20.42059157,30.7679571,24.08186343,22.98109952,20.85754743
6,51.038401,3.756504,50,25.96599942,26.51878464,30.40419582,27.76876944,25.4516347,24.16540618,21.69012844,20.42083702
7,51.041884,3.740412,55,3.351441091,11.19967959,24.20327605,36.82724036,34.59606642,32.91462301,30.0199988,24.88203746
8,51.038372,3.732334,82,42.411428,39.12950704,36.20816605,31.78268247,33.76763107,31.54641312,29.81422436,24.71336229
9,51.030779,3.730645,52,23.71720644,20.91031752,23.55749226,26.7687488,24.55507743,25.71627887,24.11731998,22.50410042
10,51.030815,3.73057,57,23.93312456,20.33586187,24.21710215,27.03931447,24.65305055,25.74724936,24.12944115,22.51507234
11,51.030776,3.730694,60,24.19872445,21.03819796,23.22093281,26.6174097,24.50960042,25.70624035,24.11916214,22.5058383
12,51.030811,3.730695,61,24.61270769,20.34712827,23.39286402,26.65140776,24.55241858,25.72610091,24.13823254,22.52131072
13,51.030476,3.729512,56,17.18032778,23.0511926,24.70451382,29.19390304,25.65078983,25.75115902,23.80824715,22.26432913
14,51.028454,3.724752,59,26.79571837,26.50612288,28.06184263,29.73747595,27.19402921,23.47142108,21.94190988,20.71818932
15,51.02586,3.725764,62,21.60643902,25.65535683,27.33191354,26.89178542,22.50215665,20.39971509,20.85698314,19.57902944
16,51.025174,3.7228,60,23.338487,28.97687958,28.96307224,26.85389329,22.55035328,19.35455293,19.84913864,18.73078853
17,51.025709,3.722975,63,22.89564258,23.78337165,26.16052321,27.19987369,23.34943319,19.70454292,20.11918278,19.0065445
18,51.023411,3.723326,62,27.03611626,20.24360062,22.4129562,25.48689589,20.19131987,18.2224975,18.89146057,18.12210728
19,51.02321,3.723186,53,19.10334918,20.61933835,21.50200609,25.90835676,20.08439548,18.04966841,18.73244177,18.017816
20,51.022318,3.722959,50,16.57474117,18.52565056,22.26559141,26.48882407,19.75695568,17.66800621,18.08652024,17.56325892
21,51.02418,3.72192,63,13.75630993,25.61245555,26.88179749,25.2640671,21.28437726,19.09677773,19.01026775,18.12275968
22,51.035042,3.719167,61,23.60792059,26.86001743,23.42948793,28.66712905,33.60916235,27.17918071,24.42237553,22.80862826
23,51.034855,3.718887,56,29.32361252,35.69607891,23.46105215,27.38459422,33.48204118,26.87451469,24.25257416,22.68313949
24,51.034672,3.718248,60,37.11626681,36.11194723,26.05338128,25.75810177,33.13532917,26.3679109,24.01391896,22.47556783
25,51.034484,3.71727,52,26.90081791,23.61109489,28.55881524,24.74925351,32.47580653,25.76982667,23.57963824,22.14528832
26,51.034646,3.717873,53,39.79379018,32.38401163,27.1890838,25.37226454,32.96376087,26.16702257,23.87693649,22.37847679
27,51.033803,3.715969,47,10.46478188,17.21070286,24.72370055,27.56114421,31.3309411,24.91384479,22.69830118,21.43139096
28,51.03357,3.716828,56,13.7816054,14.75761409,22.91091696,26.19068419,31.51145145,25.02890078,22.80417463,21.58599009
29,51.033333,3.718072,45,8.296073485,15.26373374,23.91041799,25.84562465,31.44215883,25.24108498,22.9425282,21.81007424
31,51.028299,3.714816,59,22.59932158,21.32388841,19.77293326,25.5311256,25.9998656,21.43055909,19.01685772,18.50820282
32,51.027374,3.714727,59,4.934945326,11.81242696,16.67148459,23.01473673,24.47445289,20.53956912,18.61430285,18.13427653
34,51.032194,3.720605,53,25.88002125,18.51202875,21.97182372,29.57729745,31.24541018,25.43077434,22.85115813,21.76946716
35,51.027872,3.712157,65,28.13997761,26.95591806,23.27013629,26.02551004,22.74655968,20.84504352,17.86529238,17.77687508
36,51.027054,3.711898,51,23.74377319,19.51848099,21.65242804,22.89321021,22.68771821,20.06689304,17.44216266,17.43656472
37,51.026405,3.710524,55,30.98589663,24.83617399,24.5378825,22.01026708,21.03891806,19.06491924,16.69729627,16.83837585
38,51.0256,3.70856,55,9.971462295,26.23458417,23.76127687,21.32785572,18.88671592,17.29274453,15.91051016,16.08215418
39,51.024703,3.705558,49,8.485091604,10.76965308,12.17913463,18.0994046,16.08722516,15.4030095,14.97888163,15.0594682
40,51.030575,3.70184,48,6.096271504,12.18784391,8.029039255,10.71313538,16.04802901,15.97603493,15.90735016,16.64508293
41,51.035462,3.707276,56,15.54385018,11.58811362,10.56322479,23.30873167,25.200982,20.98328635,20.21448407,19.70323384
42,51.036651,3.71629,59,21.35672344,34.38225749,34.86954409,31.63622238,32.97642903,27.09298862,24.69093112,22.57180144
43,51.036183,3.721822,63,0,2.498306458,24.71919726,32.73287378,33.80726847,29.70894234,25.85772589,23.51064227
44,51.03627,3.72319,70,34.78668015,23.95086046,31.5936062,37.06423907,34.06095564,30.50810516,26.30791571,23.68752349
45,51.036707,3.700755,52,15.06708387,13.35643895,10.36599465,12.15556804,15.21036769,16.25507557,18.55161004,18.56557042
46,51.036886,3.694456,73,21.50439044,15.34972493,11.77253978,7.358251362,6.744237671,12.71782225,15.45524821,16.84068933
47,51.038599,3.691536,50,23.75992065,10.08192219,7.736741802,5.309812682,5.240877474,10.14182111,14.57846142,16.65823239
48,51.041051,3.692753,47,2.986658525,2.886681445,2.962128676,3.276131393,6.655214413,11.45757624,16.27111328,17.73872044
49,51.046508,3.694337,37,0,9.151610758,12.83957724,5.35402964,8.140877392,15.22749091,19.04127197,19.64335919
50,51.047389,3.68591,59,0,0,6.2982454,5.882507724,3.690856279,8.955868899,14.42564368,16.64604402
51,51.047223,3.684753,46,0,0,8.227908199,5.891104356,3.199068923,8.191831105,13.63707358,16.18054102
52,51.04764,3.682817,57,4.27478516,16.6912811,10.53056172,5.152409045,2.686733162,7.506122924,12.53047065,15.55043608
53,51.048603,3.681283,58,3.678276958,5.678251106,7.795889734,5.118290901,2.499285488,7.214893379,12.06995724,14.94734188
54,51.04506,3.693526,52,10.26730294,8.607014668,7.903618124,6.232136226,6.607794944,13.32916085,18.11993575,18.91050034
56,51.044642,3.709266,55,35.63553795,37.44471047,28.14368368,26.32102528,30.28926966,28.45744063,26.36723555,23.13520708
57,51.044071,3.708884,55,27.36217074,26.25886682,26.61866217,25.83695329,28.99593551,27.72654292,25.95109313,22.86559184
58,51.043679,3.738905,36,11.49400826,21.85301564,32.06154468,31.74014863,34.60978923,35.33827836,30.92705645,25.48315291
59,51.047299,3.738818,46,26.30368426,25.2521826,28.63751293,38.36777477,34.92279896,37.85546084,31.43372474,26.02266148
60,51.047683,3.738683,52,19.18445939,25.90240998,28.63231486,38.31842518,34.99306033,37.98780604,31.53049852,26.10975196
61,51.051769,3.735827,51,16.24094075,24.64706178,32.48559399,36.34331749,40.06163112,38.82071954,32.4779334,27.04381826
62,51.054437,3.732885,53,12.55945296,26.56839013,35.06757852,42.14756861,42.51531807,38.68864613,32.8768638,27.13717972
63,51.054624,3.733113,47,22.76660995,22.26722436,34.14010781,42.56697257,42.43356392,38.56984255,32.79717568,27.12887549
64,51.06001,3.72558,49,35.66403053,39.34834239,43.5782342,46.91710896,45.00988209,37.16089945,32.16543246,26.65226836
65,51.053837,3.719238,59,42.22625724,46.87055974,50.67961473,54.13673839,48.16919886,38.12777308,32.51319763,26.10986385
66,51.053804,3.719327,57,44.4026551,44.67675522,50.45143188,54.1030076,48.23289875,38.1095593,32.55026604,26.12052012
67,51.053625,3.721337,63,44.73801203,43.34199604,49.65651136,55.28897043,49.98950297,38.41529079,33.169823,26.31068528
68,51.053682,3.721291,56,41.18141518,42.16324088,49.27166155,55.34574846,49.92662364,38.4193497,33.15237861,26.31395225
70,51.051697,3.709184,63,31.43797093,36.55639232,38.23467415,40.2129059,35.84070118,33.73477587,28.20217675,24.18731242
71,51.057482,3.703908,64,45.04719253,46.57500951,39.1330443,34.81914099,39.20307872,29.78350306,25.98066138,22.43166185
73,51.068213,3.694991,54,29.64678801,21.99396295,18.75147609,22.68578819,26.60913248,24.01766123,20.53935043,19.18825849
74,51.068214,3.694991,55,29.63724951,21.95963132,18.75345624,22.67994243,26.607681,24.01776056,20.53900547,19.1880593
75,51.055245,3.691123,52,0,6.090185401,11.38839945,15.15262426,17.63211274,16.88475918,18.92125951,19.05427471
76,51.055235,3.691101,54,0,5.755577681,11.21290899,15.05395991,17.60068455,16.86004377,18.90598232,19.0459304
77,51.053545,3.692583,45,1.225236385,8.650854566,9.485778409,14.14163902,17.76348469,17.26595046,19.26019103,19.72501977
78,51.050191,3.693547,48,0,2.852929776,7.373011879,7.273144086,12.80133653,16.93688884,19.13310784,20.04315556
79,51.022057,3.71221,62,9.692964383,12.23371361,13.65854384,14.99923233,16.64768675,16.77504218,15.4424821,15.17619908
80,51.025316,3.718204,63,17.42421035,22.57132606,24.40288783,21.46075464,24.17046563,19.36517757,18.63284288,17.97017577
81,51.019987,3.710251,65,31.12666765,19.89711682,20.2120217,11.87848369,12.69796411,15.47271486,14.56834541,13.88093655
82,51.016923,3.718177,52,5.840080279,8.136677254,13.12068006,16.96511481,14.90884682,16.25594597,13.89116107,14.5228086
83,51.021228,3.737171,45,19.021668,18.53659561,20.35741481,16.3314858,12.19307007,17.01581981,19.55666364,18.26952554
84,51.011582,3.749109,46,10.47400495,13.10296201,17.2205992,15.99685299,11.53946932,12.98573672,13.7137495,14.08220931
86,51.013858,3.758438,63,16.92818292,15.38643658,15.29691225,16.51586678,18.82389676,14.17908612,12.9812114,13.28167208
87,51.010503,3.761587,61,19.86454176,21.80017926,21.25920862,17.929659,13.3067781,12.29936716,12.33637321,11.95217939
88,51.008984,3.759273,62,21.65878412,23.74544681,22.05389727,16.18884835,12.60989172,11.483158,12.3275089,11.87902688
89,51.009322,3.753832,57,20.46211878,14.33762758,12.38471099,12.62582979,13.80449708,12.17442546,12.74099862,12.63424739
90,51.007921,3.755476,52,19.44776512,10.57868529,10.47101167,11.21767196,13.56783277,11.46652524,12.22162594,12.07810593
91,51.029489,3.751959,60,8.147849136,21.06346673,27.52108873,24.19842824,24.33188672,22.00344645,20.76468642,19.09249435
92,51.030835,3.760023,62,27.94974106,33.21224879,31.24664344,35.05901086,24.78674709,20.90322415,18.08978671,17.30934686
93,51.024605,3.757466,64,27.11789783,22.14868924,25.08241922,25.36973378,24.05487558,19.44859886,16.50565717,16.0264781
94,51.027143,3.759993,57,20.52649409,30.07682335,33.70865834,33.57178934,26.13956743,19.19720063,16.51780368,16.26273941
95,51.02418,3.765878,56,35.36913583,25.48914751,21.93551704,21.42868405,22.30593525,16.54217752,13.96946801,14.3185773
96,51.021536,3.776694,50,12.66547994,16.00725211,17.85884219,18.24519542,13.67433064,12.21939416,11.36089661,11.68327199
97,51.027121,3.773053,53,17.67286695,15.465378,14.28924528,17.52846853,17.04916133,13.81051137,13.46978389,13.2950538
98,51.030097,3.771159,58,30.09383449,23.27675664,21.45644341,20.50572601,17.23336079,14.54641464,14.42074334,14.28926314
99,51.046786,3.758435,62,19.79573854,20.231099,20.00490338,24.60003286,25.66819581,23.76280509,21.82864105,20.84887336
100,51.04427,3.768875,52,25.9334122,20.35513182,17.37857856,16.39341646,11.64336062,15.29227827,17.11459532,17.17637282
101,51.043706,3.768088,44,30.72020498,23.44841262,17.71519446,17.13054374,11.96833264,16.13103243,17.39392859,17.37157881
102,51.041606,3.762951,45,20.89274716,20.80542797,19.2961395,19.86602369,19.4258577,21.31828916,18.93712911,18.8283149
103,51.043515,3.764175,47,26.67943602,26.2559449,23.72222785,19.98272365,18.36973104,19.82315365,18.90731831,18.62934887
104,51.038979,3.779982,53,33.19643221,18.24639718,11.35021263,3.837965262,3.727866915,8.366423494,12.52852659,13.28862071
105,51.036199,3.780633,45,0,0.842836496,2.495432116,3.913986096,4.42291874,8.716939772,12.22768464,12.74809878
106,51.036288,3.780854,44,0,0.822008602,2.606720349,3.762800765,4.233464606,8.632233194,12.12630696,12.70560753
107,51.033429,3.781603,46,11.62690212,4.816817633,1.635243416,2.081257873,5.167789479,9.526095985,11.70000978,12.14713554
108,51.038227,3.788297,53,0,0,0,0.040474985,3.313678878,6.177034932,9.88203573,11.07112922
109,51.038473,3.785049,56,0,0,0,1.18559205,2.089402305,6.475184558,11.15379983,12.13285615
110,51.03793,3.782248,55,0,0,3.049970929,3.46754405,2.810279993,7.479013771,11.85169698,12.6208253
111,51.037409,3.782084,51,0,0.38031533,2.362418464,3.366026362,2.888843967,7.816065382,11.86215777,12.57888249
