genotype,replicate,treatment,area.total
1,1,C,1117
1,2,C,1541.7
1,3,C,867.8
1,4,C,1379
1,5,C,1258.1
8,1,C,4063.6
8,2,C,3550.2
8,3,C,4341.7
8,4,C,3774.9
8,5,C,3093.6
25,1,C,1598.3
25,2,C,1758.8
25,3,C,1389.8
25,4,C,2020.9
25,5,C,2540.4
31,1,C,1666.1
31,2,C,2332.7
31,3,C,2836.4
31,4,C,1316.2
31,5,C,1652.2
40,1,C,832
40,2,C,1392.3
40,3,C,175.9
40,4,C,126.65
40,5,C,511.2
52,1,C,709.5
52,2,C,1113.7
52,3,C,1205.9
52,4,C,1066
52,5,C,953.6
56,1,C,4201.7
56,2,C,3994.4
56,3,C,4964.2
56,4,C,4076.9
56,5,C,3480
59,1,C,1455.6
59,2,C,1971.5
59,3,C,3164.8
59,4,C,727.3
59,5,C,1522.8
64,1,C,4330.5
64,2,C,4163.2
64,3,C,4323.6
64,4,C,3743.4
64,5,C,3601.9
68,1,C,2360.3
68,2,C,2026.2
68,3,C,2568.8
68,4,C,1484.1
68,5,C,2042.1
71,1,C,2491.9
71,2,C,2881.5
71,3,C,3044
71,4,C,2792
71,5,C,2552.7
82,1,C,1458.6
82,2,C,1698.7
82,3,C,1403.1
82,4,C,1161.2
82,5,C,1888.2
83,1,C,3384.4
83,2,C,3066.4
83,3,C,2497.4
83,4,C,2587.2
83,5,C,3642.7
84,1,C,2280
84,2,C,1383.9
84,3,C,1754.3
84,4,C,2089.5
84,5,C,1555.2
94,1,C,3128
94,2,C,1364.9
94,3,C,3808.9
94,4,C,3442.3
94,5,C,3765.5
95,1,C,2053.1
95,2,C,1677.7
95,3,C,2028.7
95,4,C,1907.4
95,5,C,2012
99,1,C,2939.2
99,2,C,5366.4
99,3,C,2563.4
99,4,C,2566
99,5,C,2564.9
109,1,C,3933.1
109,2,C,1117.2
109,3,C,1099
109,4,C,2804.1
109,5,C,1833.7
