genotype,replicate,d1,d2,d3,d4,d5
1,1,0.0005,0.0012,0.0017,0.006,0.0105
1,2,0.0006,0.0011,0.0028,0.0054,0.0142
1,3,0.0006,0.0013,0.0021,0.0062,0.0088
1,4,0.0005,0.0012,0.0012,0.003,0.005
1,5,0.0006,0.0011,0.0015,0.0046,0.0075
8,1,0.0006,0.0012,0.0015,0.0053,0.0077
8,2,0.0007,0.0013,0.0036,0.0063,0.0211
8,3,0.0006,0.0012,0.002,0.0055,0.0106
8,4,0.0006,0.0013,0.0022,0.0058,0.0117
8,5,0.0007,0.0011,0.0016,0.0052,0.0082
25,1,0.0006,0.0011,0.0023,0.0048,0.0093
25,2,0.0006,0.001,0.0011,0.0035,0.0059
25,3,0.0007,0.0011,0.0016,0.0044,0.0063
25,4,0.0006,0.0013,0.0032,0.0061,0.0171
25,5,0.0007,0.0012,0.0018,0.0057,0.0097
31,1,0.0006,0.0012,0.0022,0.0059,0.0112
31,2,0.0006,0.001,0.0021,0.0048,0.0077
31,3,0.0006,0.0011,0.0013,0.004,0.0055
31,4,0.0005,0.0012,0.0015,0.0052,0.0077
31,5,0.0006,0.0011,0.0032,0.005,0.013
40,1,0.0006,0.0011,0.0013,0.0046,0.0062
40,2,0.0005,0.0014,0.0021,0.0054,0.0073
40,3,0.0005,0.001,0.0016,0.0043,0.0063
40,4,0.0005,0.0009,0.0011,0.0035,0.0045
40,5,0.0005,0.001,0.0013,0.0041,0.0059
52,1,0.0006,0.0013,0.0019,0.0055,0.0101
52,2,0.0005,0.0012,0.0029,0.0056,0.0161
52,3,0.0006,0.0012,0.0023,0.0048,0.0066
52,4,0.0005,0.001,0.0031,0.0053,0.0194
52,5,0.0005,0.0005,0.0009,0.0018,0.0045
56,1,0.0007,0.0014,0.0024,0.0056,0.0119
56,2,0.0007,0.0013,0.0022,0.0058,0.0113
56,3,0.0006,0.0011,0.0026,0.0058,0.0142
56,4,0.0007,0.0012,0.0015,0.0056,0.0078
56,5,0.0006,0.0013,0.0021,0.0058,0.0097
59,1,0.0006,0.001,0.0013,0.0046,0.0075
59,2,0.0006,0.0009,0.0011,0.0027,0.0051
59,3,0.0007,0.0011,0.0019,0.0063,0.0101
59,4,0.0006,0.0012,0.003,0.0058,0.0181
59,5,0.0005,0.0012,0.0017,0.0053,0.0072
64,1,0.0006,0.0011,0.0038,0.0058,0.0175
64,2,0.0007,0.0012,0.0019,0.0058,0.0102
64,3,0.0007,0.0011,0.0011,0.0035,0.0042
64,4,0.0005,0.0007,0.0011,0.0028,0.005
64,5,0.0007,0.0011,0.002,0.0056,0.0086
68,1,0.0006,0.0011,0.0035,0.0065,0.02
68,2,0.0005,0.0009,0.0013,0.0042,0.0062
68,3,0.0007,0.0013,0.0031,0.0064,0.0139
68,4,0.0006,0.0008,0.0011,0.0025,0.0049
68,5,0.0006,0.0011,0.0014,0.0049,0.007
71,1,0.0006,0.0012,0.0028,0.0059,0.0131
71,2,0.0006,0.0013,0.0026,0.0057,0.0123
71,3,0.0006,0.0012,0.0023,0.0057,0.0128
71,4,0.0007,0.0013,0.0019,0.0059,0.0105
71,5,0.0007,0.0013,0.0029,0.006,0.0163
82,1,0.0006,0.0011,0.0016,0.0045,0.0074
82,2,0.0006,0.0013,0.0033,0.0057,0.0161
82,3,0.0007,0.0011,0.0014,0.0042,0.0068
82,4,0.0006,0.001,0.0013,0.0033,0.0059
82,5,0.0006,0.0011,0.0029,0.0058,0.0154
83,1,0.0006,0.0009,0.001,0.0023,0.0046
83,2,0.0006,0.0013,0.0019,0.0055,0.0076
83,3,0.0006,0.0012,0.0028,0.0057,0.0132
83,4,0.0006,0.0012,0.0019,0.0054,0.0079
83,5,0.0006,0.0012,0.0016,0.006,0.0103
84,1,0.0006,0.0012,0.0014,0.0056,0.0074
84,2,0.0006,0.0008,0.0009,0.0013,0.0029
84,3,0.0006,0.0013,0.0018,0.0063,0.0128
84,4,0.0007,0.0013,0.0031,0.0058,0.0141
84,5,0.0005,0.0012,0.0023,0.0056,0.0103
94,1,0.0007,0.0014,0.0035,0.0065,0.0196
94,2,0.0006,0.0013,0.0027,0.0056,0.0106
94,3,0.0006,0.0011,0.0013,0.0044,0.0059
94,4,0.0006,0.0012,0.0035,0.0057,0.0138
94,5,0.0005,0.0009,0.0011,0.003,0.0048
95,1,0.0006,0.0009,0.0015,0.0035,0.0046
95,2,0.0005,0.0013,0.0024,0.0059,0.011
95,3,0.0005,0.0011,0.0027,0.0056,0.0101
95,4,0.0005,0.0012,0.002,0.0056,0.0095
95,5,0.0005,0.0012,0.0017,0.0044,0.007
99,1,0.0006,0.0009,0.0013,0.0036,0.0053
99,2,0.0006,0.0013,0.0028,0.006,0.0157
99,3,0.0007,0.0012,0.0025,0.0055,0.018
99,4,0.0006,0.0011,0.0016,0.0048,0.0085
99,5,0.0006,0.0012,0.003,0.0055,0.0182
109,1,0.0005,0.0012,0.002,0.0051,0.0075
109,2,0.0006,0.0013,0.0026,0.0054,0.0117
109,3,0.0007,0.0012,0.0019,0.0038,0.0047
109,4,0.0007,0.0012,0.0031,0.0058,0.0146
109,5,0.0007,0.0012,0.002,0.006,0.0108
