"","genotype","treatment","BG.biomass","sd.BG","se.BG","AG.biomass","sd.AG","se.AG","ratio","sd.ratio","se.ratio","d50","d100","d200","d400","d800","d1600","d2400","d3200"
"1","1","C",0.0063,0.000524404424085076,0.000214087209644419,0.03742,0.00493730695825163,0.00201564712520157,0.17033266824988,0.0222250229924272,0.00907332764217844,46.05403659,40.39765831,32.52333175,33.87796788,32.37207417,28.09635977,27.63927838,23.63576557
"2","1","H",0.00658,0.00133678719323608,0.000545741086352616,0.03474,0.0090215298037528,0.00368302411975087,0.194649879347439,0.0395838814346793,0.0161600519256321,46.05403659,40.39765831,32.52333175,33.87796788,32.37207417,28.09635977,27.63927838,23.63576557
"3","109","C",0.01408,0.00952008403324256,0.00388655803164359,0.06616,0.0313656340602259,0.0128049664844023,0.19646752169473,0.0469490027128845,0.0191668500965184,0,0,0,1.18559205,2.089402305,6.475184558,11.15379983,12.13285615
"4","109","H",0.00882,0.00610344165205173,0.00249171962039606,0.03614,0.0256326549541791,0.0104644875650937,0.311551109891002,0.204660313408391,0.0835522230747739,0,0,0,1.18559205,2.089402305,6.475184558,11.15379983,12.13285615
"5","25","C",0.01474,0.00457362001045124,0.00186717255049803,0.04232,0.00748311432493183,0.00305496863049907,0.344478199388429,0.0586784994076726,0.0239553970701672,26.90081791,23.61109489,28.55881524,24.74925351,32.47580653,25.76982667,23.57963824,22.14528832
"6","25","H",0.01564,0.00561542518425809,0.00229248773170109,0.04628,0.0136734048429789,0.00558214415196646,0.341877715144243,0.0799481735456883,0.0326387051757355,26.90081791,23.61109489,28.55881524,24.74925351,32.47580653,25.76982667,23.57963824,22.14528832
"7","31","C",0.01368,0.00201419959289044,0.00082229354045053,0.05138,0.0068177708967081,0.00278334331335536,0.267359964873713,0.0329857074655295,0.0134663586825435,22.59932158,21.32388841,19.77293326,25.5311256,25.9998656,21.43055909,19.01685772,18.50820282
"8","31","H",0.01558,0.00421034440396507,0.00171886590518283,0.05344,0.00541691794288966,0.00221144748976773,0.291226339763445,0.0703735594177544,0.0287298853261553,22.59932158,21.32388841,19.77293326,25.5311256,25.9998656,21.43055909,19.01685772,18.50820282
"9","40","C",0.00382,0.00279857106395389,0.00114251185260081,0.0156,0.0132772361581769,0.00542040896366071,0.257723623490975,0.0752514090374902,0.0307212590945523,6.096271504,12.18784391,8.029039255,10.71313538,16.04802901,15.97603493,15.90735016,16.64508293
"10","40","H",0.00314,0.00251455761516812,0.00102656384766527,0.01112,0.0132180558328371,0.00539624869701166,0.473992449928344,0.307661820504086,0.125602412261793,6.096271504,12.18784391,8.029039255,10.71313538,16.04802901,15.97603493,15.90735016,16.64508293
