genotype,replicate,treatment,trichome
1,1,C,46.3
1,2,C,38.5
1,3,C,39.8
1,4,C,40.4
1,5,C,45.7
1,1,H,45.4
1,2,H,45
1,3,H,42.8
1,4,H,45.8
1,5,H,44.8
8,1,C,15.5
8,2,C,16.8
8,3,C,11.7
8,4,C,14.8
8,5,C,16.1
8,1,H,16.5
8,2,H,19.2
8,3,H,18.8
8,4,H,15.7
8,5,H,17.8
25,1,C,32
25,2,C,32.1
25,3,C,38
25,4,C,31.3
25,5,C,31.6
25,1,H,28.8
25,2,H,33.8
25,3,H,26.6
25,4,H,26.8
25,5,H,27.1
31,1,C,33.8
31,2,C,33.7
31,3,C,28
31,4,C,61
31,5,C,45.8
31,1,H,30.8
31,2,H,40.3
31,3,H,43.2
31,4,H,32.3
31,5,H,31.3
40,1,C,34
40,2,C,52
40,3,C,93.8
40,4,C,98
40,5,C,37.4
40,1,H,39.3
40,2,H,70
40,3,H,60
40,4,H,74
40,5,H,60.6
52,1,C,43.5
52,2,C,46.5
52,3,C,41
52,4,C,45.8
52,5,C,32.8
52,1,H,33
52,2,H,40.8
52,3,H,42.7
52,4,H,36.2
52,5,H,32.8
56,1,C,18
56,2,C,18.1
56,3,C,18.8
56,4,C,16.6
56,5,C,19.1
56,1,H,20.6
56,2,H,21.1
56,3,H,18
56,4,H,17.6
56,5,H,19.5
59,1,C,42.6
59,2,C,44.3
59,3,C,11.4
59,4,C,23.7
59,5,C,37.8
59,1,H,36.4
59,2,H,14.2
59,3,H,32.6
59,4,H,45.2
59,5,H,46.3
64,1,C,21.4
64,2,C,22.3
64,3,C,24
64,4,C,22.9
64,5,C,22.5
64,1,H,24.9
64,2,H,20.7
64,3,H,19.4
64,4,H,19.3
64,5,H,23.3
68,1,C,24.6
68,2,C,32.3
68,3,C,27.6
68,4,C,32.5
68,5,C,29.6
68,1,H,28.4
68,2,H,27.2
68,3,H,30.8
68,4,H,29.7
68,5,H,30.3
71,1,C,28.7
71,2,C,25.5
71,3,C,25.8
71,4,C,28.8
71,5,C,25.1
71,1,H,25.6
71,2,H,31.7
71,3,H,23.4
71,4,H,23
71,5,H,26.7
82,1,C,47.3
82,2,C,40.7
82,3,C,54.3
82,4,C,51.4
82,5,C,48.3
82,1,H,37.3
82,2,H,62.7
82,3,H,47.4
82,4,H,34.9
82,5,H,41.2
83,1,C,20
83,2,C,20
83,3,C,21.4
83,4,C,24.6
83,5,C,15.2
83,1,H,17.5
83,2,H,29.3
83,3,H,18.9
83,4,H,21.6
83,5,H,21.4
84,1,C,59.6
84,2,C,55.4
84,3,C,46.4
84,4,C,60
84,5,C,52.5
84,1,H,46.4
84,2,H,52
84,3,H,37.7
84,4,H,48.7
84,5,H,42
94,1,C,26.5
94,2,C,24
94,3,C,19
94,4,C,20.2
94,5,C,22
94,1,H,21
94,2,H,27.2
94,3,H,19.9
94,4,H,31.3
94,5,H,29.1
95,1,C,62
95,2,C,27.2
95,3,C,52.1
95,4,C,50.7
95,5,C,41.5
95,1,H,46.8
95,2,H,51
95,3,H,51.7
95,4,H,35
95,5,H,47
99,1,C,17.5
99,2,C,14.5
99,3,C,19.7
99,4,C,22.9
99,5,C,26.3
99,1,H,22
99,2,H,20
99,3,H,24.8
99,4,H,24.6
99,5,H,21.5
109,1,C,19.8
109,2,C,36.8
109,3,C,42.8
109,4,C,44.7
109,5,C,41.8
109,1,H,66.2
109,2,H,62.5
109,3,H,53.1
109,4,H,45.4
109,5,H,57.5
